Backbone,Strategy,Fusion,Used Weights,Channels,F1,AUC
MiT-B0,Fine-Tuning,Conv,"R, G, B, G","R, G, B, NDVI",0.863,0.964
MiT-B0,Fine-Tuning,Conv,"R, G, B, G","R, G, B, NIR",0.86,0.901
MiT-B0,Fine-Tuning,Conv,"R, G, B, G","R, G, B, RE",0.861,0.936
MiT-B0,Fine-Tuning,Conv,"R, G, B, G, G","R, G, B, NIR, RE",0.863,0.971
MiT-B0,Fine-Tuning,Conv Drop,"R, G, B, G","R, G, B, NDVI",0.863,0.97
MiT-B0,Fine-Tuning,Conv Drop,"R, G, B, G","R, G, B, NIR",0.859,0.94
MiT-B0,Fine-Tuning,Conv Drop,"R, G, B, G","R, G, B, RE",0.86,0.941
MiT-B0,Fine-Tuning,Conv Drop,"R, G, B, G, G","R, G, B, NIR, RE",0.859,0.922
MiT-B0,Fine-Tuning,SE,"R, G, B, G","R, G, B, NDVI",0.758,0.942
MiT-B0,Fine-Tuning,SE,"R, G, B, G","R, G, B, NIR",0.739,0.969
MiT-B0,Fine-Tuning,SE,"R, G, B, G","R, G, B, RE",0.757,0.953
MiT-B0,Fine-Tuning,SE,"R, G, B, G, G","R, G, B, NIR, RE",0.744,0.958
MiT-B0,Freeze,Conv,"R, G","R, G, B, NDVI",0.849,0.942
MiT-B0,Freeze,Conv,"R, G","R, G, B, NIR",0.845,0.963
MiT-B0,Freeze,Conv,"R, G","R, G, B, NIR, RE",0.85,0.966
MiT-B0,Freeze,Conv,"R, G","R, G, B, RE",0.851,0.909
MiT-B0,Freeze,Conv,"R, G, B, G","R, G, B, NDVI",0.853,0.953
MiT-B0,Freeze,Conv,"R, G, B, G","R, G, B, NIR",0.853,0.962
MiT-B0,Freeze,Conv,"R, G, B, G","R, G, B, RE",0.641,0.808
MiT-B0,Freeze,Conv,"R, G, B, G, G","R, G, B, NIR, RE",0.851,0.951
MiT-B0,Freeze,Conv Drop,"R, G","R, G, B, NDVI",0.844,0.926
MiT-B0,Freeze,Conv Drop,"R, G","R, G, B, NIR",0.851,0.954
MiT-B0,Freeze,Conv Drop,"R, G","R, G, B, NIR, RE",0.845,0.945
MiT-B0,Freeze,Conv Drop,"R, G","R, G, B, RE",0.851,0.949
MiT-B0,Freeze,Conv Drop,"R, G, B, G","R, G, B, NDVI",0.842,0.932
MiT-B0,Freeze,Conv Drop,"R, G, B, G","R, G, B, NIR",0.829,0.914
MiT-B0,Freeze,Conv Drop,"R, G, B, G","R, G, B, RE",0.855,0.949
MiT-B0,Freeze,Conv Drop,"R, G, B, G, G","R, G, B, NIR, RE",0.826,0.977
MiT-B0,Freeze,SE,"R, G","R, G, B, NDVI",0.846,0.97
MiT-B0,Freeze,SE,"R, G","R, G, B, NIR",0.846,0.977
MiT-B0,Freeze,SE,"R, G","R, G, B, NIR, RE",0.846,0.967
MiT-B0,Freeze,SE,"R, G","R, G, B, RE",0.849,0.963
MiT-B0,Freeze,SE,"R, G, B, G","R, G, B, NDVI",0.855,0.974
MiT-B0,Freeze,SE,"R, G, B, G","R, G, B, NIR",0.857,0.954
MiT-B0,Freeze,SE,"R, G, B, G","R, G, B, RE",0.854,0.897
MiT-B0,Freeze,SE,"R, G, B, G, G","R, G, B, NIR, RE",0.853,0.94
MiT-B1,Fine-Tuning,Conv,"R, G, B, G","R, G, B, NDVI",0.86,0.898
MiT-B1,Fine-Tuning,Conv,"R, G, B, G","R, G, B, NIR",0.862,0.896
MiT-B1,Fine-Tuning,Conv,"R, G, B, G","R, G, B, RE",0.86,0.965
MiT-B1,Fine-Tuning,Conv,"R, G, B, G, G","R, G, B, NIR, RE",0.859,0.943
MiT-B1,Fine-Tuning,Conv Drop,"R, G, B, G","R, G, B, NDVI",0.86,0.979
MiT-B1,Fine-Tuning,Conv Drop,"R, G, B, G","R, G, B, NIR",0.863,0.953
MiT-B1,Fine-Tuning,Conv Drop,"R, G, B, G","R, G, B, RE",0.862,0.962
MiT-B1,Fine-Tuning,Conv Drop,"R, G, B, G, G","R, G, B, NIR, RE",0.858,0.959
MiT-B1,Fine-Tuning,SE,"R, G, B, G","R, G, B, NDVI",0.758,0.946
MiT-B1,Fine-Tuning,SE,"R, G, B, G","R, G, B, NIR",0.742,0.92
MiT-B1,Fine-Tuning,SE,"R, G, B, G","R, G, B, RE",0.723,0.858
MiT-B1,Fine-Tuning,SE,"R, G, B, G, G","R, G, B, NIR, RE",0.758,0.898
MiT-B1,Freeze,Conv,"R, G","R, G, B, NDVI",0.85,0.945
MiT-B1,Freeze,Conv,"R, G","R, G, B, NIR",0.841,0.883
MiT-B1,Freeze,Conv,"R, G","R, G, B, NIR, RE",0.846,0.953
MiT-B1,Freeze,Conv,"R, G","R, G, B, RE",0.848,0.952
MiT-B1,Freeze,Conv,"R, G, B, G","R, G, B, NDVI",0.838,0.93
MiT-B1,Freeze,Conv,"R, G, B, G","R, G, B, NIR",0.851,0.898
MiT-B1,Freeze,Conv,"R, G, B, G","R, G, B, RE",0.848,0.827
MiT-B1,Freeze,Conv,"R, G, B, G, G","R, G, B, NIR, RE",0.846,0.938
MiT-B1,Freeze,Conv Drop,"R, G","R, G, B, NDVI",0.85,0.893
MiT-B1,Freeze,Conv Drop,"R, G","R, G, B, NIR",0.846,0.831
MiT-B1,Freeze,Conv Drop,"R, G","R, G, B, NIR, RE",0.843,0.779
MiT-B1,Freeze,Conv Drop,"R, G","R, G, B, RE",0.846,0.854
MiT-B1,Freeze,Conv Drop,"R, G, B, G","R, G, B, NDVI",0.855,0.92
MiT-B1,Freeze,Conv Drop,"R, G, B, G","R, G, B, NIR",0.855,0.885
MiT-B1,Freeze,Conv Drop,"R, G, B, G","R, G, B, RE",0.853,0.943
MiT-B1,Freeze,Conv Drop,"R, G, B, G, G","R, G, B, NIR, RE",0.73,0.869
MiT-B1,Freeze,SE,"R, G","R, G, B, NDVI",0.847,0.915
MiT-B1,Freeze,SE,"R, G","R, G, B, NIR",0.843,0.894
MiT-B1,Freeze,SE,"R, G","R, G, B, NIR, RE",0.837,0.946
MiT-B1,Freeze,SE,"R, G","R, G, B, RE",0.847,0.944
MiT-B1,Freeze,SE,"R, G, B, G","R, G, B, NDVI",0.855,0.897
MiT-B1,Freeze,SE,"R, G, B, G","R, G, B, NIR",0.855,0.907
MiT-B1,Freeze,SE,"R, G, B, G","R, G, B, RE",0.844,0.918
MiT-B1,Freeze,SE,"R, G, B, G, G","R, G, B, NIR, RE",0.857,0.956
